a,delta,Tm,D_Tm,Hmix,σHmix,Sid,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,Phase_inshort
1.303428571,0.062974937,1524.53,434.415668,-9.632653061,6.883381307,1.549826046,1.775714286,0.132434042,7.285714286,3.103651569,1.40E+11,42.58005665,IM
1.3041,0.0626,1530.24,437.31,-8.6531,6.7508,1.7479,1.7714,0.1284,7.1429,2.9966,1.40E+11,42.5801,SS
1.3062,0.0646,1543.51,451.09,-11.5976,6.5843,1.7118,1.7615,0.1281,6.8462,2.9048,1.40E+11,44.1873,SS
1.3081,0.0603,1615.32,427.39,-11.287,5.2597,1.5563,1.7004,0.125,6.4615,2.1791,1.38E+11,38.8251,SS
1.3085,0.0668,1558.99,466.18,-15.4444,5.8899,1.5607,1.75,0.1266,6.5,2.7538,1.40E+11,45.9915,SS
1.3094,0.0634,1737.78,392.55,-13.9375,8.7607,2.0794,1.745,0.1403,7,2.7386,1.47E+11,34.4674,SS
1.3094,0.064,1505.72,444.31,-9.3751,6.7637,1.7255,1.7648,0.1298,6.9726,3.0474,1.38E+11,43.6051,SS
1.3105,0.0694,2593.75,523.51,-26.25,3.7889,0.5623,2.095,0.1126,5.5,0.866,1.98E+11,56.2917,IM
1.3108,0.0699,1698.52,382.77,-17.1834,9.3388,1.9251,1.7508,0.1425,7,2.7175,1.46E+11,37.8186,AM
1.3113,0.0556,1630.29,409.18,-15.96,6.5994,1.8867,1.714,0.1426,6.8,2.4413,1.42E+11,39.2983,SS
1.311666667,0.089262097,1379.823333,322.9855246,-36.88888889,8.855725171,1.098612289,1.686666667,0.152825245,4.666666667,1.699673171,9.87E+10,17.98765008,IM
1.311727273,0.052998247,1680.54,421.2518006,-16.26446281,6.612621834,1.893788232,1.706363636,0.138056163,6.636363636,2.3845231,1.44E+11,37.81730768,SS
1.3127,0.0648,1490.46,447.94,-9.7778,6.7537,1.7095,1.7607,0.1305,6.8667,3.0739,1.36E+11,44.1513,SS
1.3127,0.0724,1818.11,234.14,-14.0408,9.4813,1.7479,1.7514,0.1548,7.4286,2.6108,1.50E+11,28.2843,IM
1.3139,0.0603,1713.47,376.43,-12.7407,8.2354,2.1972,1.7233,0.1458,7,2.582,1.44E+11,33.5857,SS
1.3147,0.1179,1347.29,255.27,-16.6849,5.1405,0.9972,1.7779,0.239,7.4483,3.9964,1.11E+11,37.341,IM
1.3153,0.0609,1866.47,519.1,-11.2099,8.3174,2.1972,1.7911,0.1857,6.8889,2.601,1.56E+11,41.6701,SS
1.3173,0.0657,1469.04,452.11,-10.2827,6.7168,1.6845,1.7549,0.1312,6.7179,3.1046,1.34E+11,44.8051,SS
1.3176,0.1136,1336.66,242.98,-14.72,4.8755,0.9503,1.782,0.236,7.8,3.9699,1.13E+11,37.3631,IM
1.318,0.068416796,1510.873077,477.9042626,-16.09467456,5.773695577,1.519382665,1.739230769,0.127246674,6.230769231,2.805320389,1.35E+11,47.3961025,SS
1.318,0.0701,1658.54,407.42,-13.6667,9.2386,1.7918,1.7417,0.1448,7,2.9439,1.39E+11,36.2706,SS
1.319,0.0538,1352.66,8.85,-6.75,0.9743,0.5623,2.06,0.2771,11,0,1.60E+11,34.641,IM
1.3195,0.0729,1792.79,61.08,-41.25,5.9539,0.5623,2.125,0.1299,8.5,2.5981,1.60E+11,34.641,AM
1.3201,0.0661,1455.65,454.19,-10.5625,6.6802,1.6675,1.7513,0.1315,6.625,3.12,1.32E+11,45.1491,SS
1.323,0.054421769,1230.34,537.66,-5,0,0.693147181,1.765,0.115,10.5,1.5,1.25E+11,55,IM
1.3234,0.1061,1840.95,298.15,-14.4,11.9392,1.6094,1.726,0.2173,7.8,2.5612,1.44E+11,38.9801,SS
1.3257,0.062715627,1635.471,426.9517463,-15.44,8.589318017,2.163955657,1.712,0.14239382,6.6,2.727636339,1.37E+11,37.83331865,SS
1.3263,0.0853,1422.52,159.5,-21.8773,7.5905,1.3446,2.1427,0.3037,9.545,2.8099,1.59E+11,49.3096,AM
1.328666667,0.071637003,1675.59,240.9694508,-17.77777778,9.706389224,1.098612289,1.783333333,0.172111075,8.333333333,3.091206165,1.43E+11,28.67441756,IM
1.32875,0.083485233,1095.1575,375.1411477,-16.875,6.375995633,1.039720771,1.6975,0.416675833,6.75,4.380353867,7.28E+10,67.36235967,IM
1.3293,0.091866716,1229.8665,304.4712303,3.57,1.224754975,0.422709088,1.909,0.021424285,9.95,2.49949995,1.28E+11,29.27985656,IM
1.3314,0.063,1775.85,118.02,-32.1604,9.2351,0.6713,2.131,0.1262,9.04,2.2931,1.64E+11,30.4631,AM
1.3316,0.0819,2003.25,412.56,-31.64,7.6628,1.0627,1.762,0.1909,7.8,2.7129,1.64E+11,27.2764,AM
1.3318,0.08678293,1927.494,639.9791623,-34.08,14.82886914,1.609437912,1.774,0.227824494,4.6,1.2,1.35E+11,54.73719028,IM
1.33255,0.062310989,1776.55995,117.903619,-31.4889,9.297977809,0.663644754,2.1325,0.125274698,9.07,2.266075903,1.64E+11,30.14365605,AM
1.3333,0.083,1962.8,375.34,-32.28,7.7289,1.0627,1.759,0.1939,7.75,2.7726,1.61E+11,29.6479,AM
1.3344,0.084532374,1172.166,371.208,6.4,1.44,0.500402424,1.876,0.048,9.4,3.2,1.19E+11,42.668,IM
1.334461538,0.027307585,1620.692308,238.4896013,1.041420118,0.345856783,0.429323022,1.566923077,0.039688133,6.846153846,0.360801212,1.26E+11,14.43204849,IM
1.3345,0.0476,1292,217.21,-3.25,4.7652,1.0397,1.74,0.1614,8,3.3166,1.19E+11,26.1343,IM
1.3349,0.084158165,1922.35,329.0637134,-32.96,7.386904088,1.033114088,1.756,0.196784146,7.7,2.83019434,1.58E+11,31.55946768,AM
1.33504,0.063885438,1802.661,54.18964042,-32.472,8.654974969,0.471393487,2.146,0.115256236,8.92,2.305124725,1.66E+11,30.73499634,AM
